Parcel_index,Nieuwenhuys_parcel,Lobe,GLI_exist,GLI_lateral,GLI_superior,GLI_median,GLI_inferior,GLI_Mean,Depth_exist,Baillarger_type,Baillarger_type_detail,Intrusion_type,Density_type,Reference,Original_information_source,Depth_profle
26,27,Frontal,1,,,149,,149,1,Unistriate,,,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 5p (Fig 13)","[241.89666667 248.21833333 247.06833333 245.44166667 243.55666667  245.85833333 243.59166667 240.905      239.115      240.25166667  239.48666667 237.28       236.83333333 232.52666667 232.02  231.33666667 227.13833333 226.84666667 223.37833333 215.04333333  218.005      212.81166667 207.24333333 207.12166667 196.28666667  186.21666667 179.635      168.105      152.82       137.38833333  123.31166667 119.7        106.67833333 102.86666667  90.085  107.38833333  99.91166667  96.765      106.285      113.53333333  101.545      108.91333333 101.58       117.78       111.14833333  103.58333333  96.63833333  80.26        88.08666667  96.42833333   85.09333333  79.96666667  78.715       79.64166667  67.38666667   67.035       58.91        55.385       56.64666667  60.61166667   60.12333333  64.38        62.55166667  56.93        58.33166667   55.745       63.78333333  59.92166667  68.92        74.715   64.14166667  65.91333333  55.06166667  46.33166667  54.34333333   43.72333333  40.09        42.          38.15166667  33.52333333   34.66        32.29666667  29.25166667  25.69        28.32   28.495       26.02666667  25.33166667  23.43833333  27.71   22.04833333  20.70833333  18.34833333  22.25833333  19.86166667   25.52166667  23.14166667  25.76        25.33        27.78166667]"
27,28,Frontal,1,,,165,,165,0,,,,,,,
28,30,Frontal,1,,,145,,145,1,Unistriate,,Infraradiate,,Strasburger1937a,"Stefan Geyer, Robert Turner - [Microstructural Parcellation of the Human Cerebral Cortex] - 76p (Fig 3.15)","[243.165 207.685 196.23  187.45  191.435 186.075 190.9   221.495 240.59 238.78  243.53  221.22  233.885 233.45  235.605 226.31  207.66  213.91 193.245 197.23  183.145 161.645 177.565 163.015 148.16  130.32  136.745 136.555 117.61  100.365  99.405  88.06   97.955  78.02   79.4    82.66  82.93   84.515  87.035  89.35   82.115  83.59   85.18   89.085  87.22  82.49   89.045  77.945  76.335  63.785  72.515  62.3    67.915  51.62  66.23   66.905  64.265  62.18   59.16   70.605  57.745  55.625  50.495  53.81   57.14   53.945  49.015  51.78   63.225  48.76   57.77   43.595  48.945  42.755  47.57   41.13   34.97   42.055  30.695  41.84   39.53  39.22   29.05   30.055  27.305  20.03   26.36   21.405  24.755  19.58  20.035  19.66   22.655  13.875  14.97    8.765  10.025  14.855  13.615  12.065]"
29,31,Frontal,1,,,131,,131,0,,,,,,,
30,32,Frontal,1,,,137,,137,0,,,,,,,
31,33,Frontal,1,,,160,,160,0,,,,,,,
32,34,Frontal,1,,149,151,,150,0,,,,,,,
33,35,Frontal,1,,,144,,144,1,Unistriate,,Euradiate,,Hopf1967,"Hopf A - [Registration of the Myeloarchitecture of the human frontal lobe with an extinction method]- 3p (Fig 5)","[234.         243.01       241.805      240.63       240.45  241.665      242.37       240.45       238.51166667 232.73833333  231.24166667 228.03333333 228.895      227.325      228.725  229.39833333 226.24666667 223.47333333 222.91166667 216.72666667  214.30166667 214.33666667 212.16166667 212.78666667 212.44666667  208.40833333 200.53833333 199.31333333 194.405      192.85333333  187.085      181.54333333 177.39666667 167.07833333 161.585  151.54666667 161.39166667 149.95166667 147.11333333 143.49333333  127.795      117.04833333 111.54666667 103.96       101.37333333   95.21666667 101.15666667  90.29        87.45333333  81.24833333   78.115       84.82666667  93.98833333  93.485      110.23666667  104.00166667  96.71333333  98.13833333  94.935       89.41   82.97833333  80.595       76.515       63.96333333  69.97333333   66.56166667  72.17666667  70.635       72.87166667  78.26833333   74.32        71.79        72.23833333  76.17        67.71166667   73.63333333  70.95        71.425       79.38166667  67.81833333   66.11333333  58.07        42.48666667  28.265       25.14   23.02666667  21.58166667  20.975       20.385       25.15333333   25.27666667  29.41833333  32.505       27.895       17.00166667   17.13666667  19.84833333  18.895       19.74        21.75166667]"
34,36,Frontal,1,68,102,108,,93,1,Unistriate,,Euradiate,Grossofibrosa,Vogt1919,"Nieuwenhuys R - [ The myeloarchitectonic studies on the human cerebral cortex of the Vogt�Vogt school] - 315p (Fig 11)","[251.995 178.76  220.755 216.1   211.075 222.815 219.6   220.5   211.03 225.35  248.02  225.575 242.405 238.36  233.95  246.33  236.715 237.24 247.045 196.215 232.67  214.7   238.205 219.055 233.135 172.015 219.87 224.75  219.69  220.3   216.655 199.06  178.64  180.635 200.17  186.375 183.665 181.27  178.79  158.21  159.16  154.63  143.985 135.375 144.79 148.11  143.545 140.155 138.435 161.8   165.175 159.69  148.45  156.075 157.025 156.635 168.97  161.65  146.2   152.595 151.87  144.775 165.955 155.225 148.025 151.145 141.215 139.26  130.63  159.195 152.295 157.44 147.665 151.54  145.225 133.945 152.795 144.415 149.245 153.73  137.915 143.455 141.02  135.405 140.815 140.525 136.86  141.4   124.495 141.325 135.96  121.045 133.69  122.92  137.315 121.125 132.6   124.925 122.82 116.015]"
35,37,Frontal,1,81,66,89,,77,0,,,,,,,
