"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
-0.25396,0.39285,0.88384,46.431,-51.894,6.0976
-0.76779,0.27819,0.57716,26.655,-51.842,-12.162
-0.46469,0.26484,0.84494,25.912,-51.711,-12.832
-0.41278,0.65834,-0.62944,16.036,-51.952,-21.679
-0.27283,0.92028,-0.28044,15.592,-52.465,-22.411
-0.11061,0.99355,-0.025075,15.185,-52.705,-23.404
0.20075,0.97848,0.047762,14.126,-52.632,-23.495
0.29943,0.92358,0.23946,13.566,-52.243,-24.653
0.15115,0.98442,0.08982,12.52,-51.843,-24.844
-0.47845,0.7359,-0.47909,11.355,-52.205,-25.883
-0.59302,0.61597,-0.51856,11.641,-52.417,-26.391
-0.30151,0.90791,-0.2912,11.636,-51.909,-25.597
-0.13875,0.73369,0.66517,46.645,-51.042,5.5538
-0.87514,0.15375,0.45879,26.872,-51.525,-11.893
-0.5406,0.18258,0.82123,26.196,-51.076,-12.929
-0.63811,0.59447,-0.48932,16.74,-51.519,-21.954
-0.63581,0.55877,-0.53247,17.151,-51.063,-21.95
-0.10209,0.85516,0.50821,45.859,-50.683,4.8396
-0.024509,0.90548,0.42369,45.222,-50.332,4.0374
0.1052,0.90546,0.41119,44.741,-49.92,3.0989
-0.38276,0.58588,-0.71431,17.463,-50.324,-21.536
-0.53341,0.7249,-0.43587,17.756,-50.657,-22.264
-0.38266,0.5861,-0.71418,17.75,-50.198,-21.582
0.22653,0.8664,0.44501,44.242,-49.307,2.0242
0.35224,0.69964,0.62163,43.548,-48.739,1.4868
0.47297,0.69185,-0.54556,20.387,-49.407,-20.135
0.33972,0.71664,-0.60911,19.475,-49.241,-20.495
0.53573,0.25168,-0.80601,20.08,-48.456,-19.464
0.26217,0.70914,-0.65451,18.987,-49.248,-20.723
0.12658,0.67636,-0.72561,18.482,-49.372,-21.031
-0.30372,0.73472,-0.60658,18.203,-49.997,-21.666
0.42207,0.3553,0.83404,43.204,-48.022,1.0492
0.51656,-0.17874,0.83739,43.837,-47.299,0.64416
0.48593,0.30408,-0.81939,20.662,-48.519,-19.181
0.48047,0.03965,-0.87612,20.863,-48.059,-18.895
0.53014,-0.78508,0.3203,16.01,-48.33,-24.134
0.64433,-0.69596,0.31699,16.512,-47.591,-23.741
0.19602,-0.96398,0.17978,15.439,-48.766,-24.789
-0.099471,-0.99275,-0.067474,14.359,-48.815,-24.497
-0.6283,-0.70634,-0.32607,13.925,-48.457,-25.613
-0.85195,-0.056899,-0.52052,13.719,-47.61,-25.778
0.25971,-0.85849,0.4422,44.231,-46.562,1.0936
0.41154,-0.21651,-0.8853,21.429,-47.635,-18.768
0.42105,-0.68987,-0.5889,21.178,-46.93,-19.314
0.31217,-0.87813,-0.36254,20.935,-46.66,-20.056
0.27285,-0.81686,-0.50822,20.137,-46.814,-20.257
0.066195,-0.95412,-0.29202,19.919,-46.48,-21.259
0.12061,-0.921,-0.37042,19.034,-46.422,-21.479
0.10019,-0.99037,-0.095595,18.878,-46.178,-22.587
0.35326,-0.93349,0.061673,17.987,-46.316,-22.947
0.56768,-0.79551,0.21192,17.179,-46.877,-23.336
-0.78889,0.22878,-0.57036,14.146,-46.887,-26.372
0.24485,-0.94901,-0.19857,51.473,-46.942,8.354
0.63349,-0.77163,0.057217,52.296,-46.675,9.2198
0.92771,-0.33093,0.17272,53.003,-46.055,8.6371
0.051974,-0.98084,-0.18777,50.865,-46.738,7.2186
0.053325,-0.99376,-0.097938,50.349,-46.625,6.2934
-0.019684,-0.99786,-0.062419,49.144,-46.66,6.3034
-0.049466,-0.99687,-0.061639,48.64,-46.59,5.4302
-0.053668,-0.99713,-0.053427,48.182,-46.513,4.5391
